exchange,cal_date,is_open,pretrade_date
SSE,20260803,1,
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260803,1,20260731
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260804,1,20260803
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260805,1,20260804
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260806,1,20260805
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260807,1,20260806
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260810,1,20260807
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260811,1,20260810
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260812,1,20260811
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260813,1,20260812
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260814,1,20260813
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260817,1,20260814
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260818,1,20260817
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260819,1,20260818
SSE,20260820,1,20260819
SSE,20260820,1,20260819
SSE,20260820,1,20260819
