ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
002536.SZ,20260821,,6.5932,,,,148.18,8.108,,,,,,,,2699770.0,,
002536.SZ,20260820,42.7,6.8338,10.4613,0.83,77.4426,97.3484,6.9884,5.4001,5.4448,0.7026,0.7026,57478.6,54440.1,35562.9,2454340.0,2324590.0,
