ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
600000.SH,20260821,210400.0,9.09,1912536.0,9.11,0.000631721,0.345638,3330580.0
159210.SZ,20260821,6900.0,0.856,5906.4,0.857,,0.0347535,
159208.SZ,20260821,10700.0,1.018,10892.6,1.02,,0.0741983,
159207.SZ,20260821,229300.0,1.156,265070.8,1.157,,0.203257,
159206.SZ,20260821,1929799.0,1.329,2564702.871,1.339,,0.320409,
159205.SZ,20260821,379500.0,1.711,649324.5,1.72,,0.538589,
159203.SZ,20260821,0.0,,0.0,1.362,,0.0,
159202.SZ,20260821,517000.0,0.821,424457.0,0.826,,0.308077,
159201.SZ,20260821,560200.0,1.181,661596.2,1.184,,0.275542,
159200.SZ,20260821,7400.0,102.085,755429.0,102.085,,0.0183712,
159199.SZ,20260821,0.0,,0.0,0.899,,0.0,
159198.SZ,20260821,152800.0,1.224,187027.2,1.228,,0.130404,
159197.SZ,20260821,200.0,0.904,180.8,0.904,,0.00242344,
159196.SZ,20260821,537800.0,1.225,658805.0,1.224,,0.252554,
159195.SZ,20260821,0.0,,0.0,0.906,,0.0,
159193.SZ,20260821,0.0,,0.0,0.794,,0.0,
159192.SZ,20260821,0.0,,0.0,0.953,,0.0,
159191.SZ,20260821,0.0,,0.0,0.956,,0.0,
159190.SZ,20260821,0.0,,0.0,0.853,,0.0,
159189.SZ,20260821,19100.0,0.895,17094.5,0.891,,0.120263,
159188.SZ,20260821,100.0,0.948,94.8,0.947,,0.0271251,
159187.SZ,20260821,0.0,,0.0,0.858,,0.0,
159186.SZ,20260821,0.0,,0.0,0.772,,0.0,
159185.SZ,20260821,276300.0,1.086,300061.8,1.091,,0.191949,
159183.SZ,20260821,0.0,,0.0,0.862,,0.0,
159182.SZ,20260821,0.0,,0.0,0.924,,0.0,
159181.SZ,20260821,600.0,0.891,534.6,0.888,,0.00885535,
159180.SZ,20260821,0.0,,0.0,1.017,,0.0,
159179.SZ,20260821,1100.0,0.852,937.2,0.853,,0.00808086,
159209.SZ,20260821,54800.0,1.139,62417.2,1.142,,0.0689443,
159211.SZ,20260821,0.0,,0.0,1.442,,0.0,
159177.SZ,20260821,0.0,,0.0,0.941,,0.0,
159212.SZ,20260821,0.0,,0.0,1.468,,0.0,
159242.SZ,20260821,3500.0,2.08,7280.0,2.094,,0.00600274,
159241.SZ,20260821,114500.0,1.001,114614.5,1.003,,0.122909,
159240.SZ,20260821,0.0,,0.0,1.292,,0.0,
159239.SZ,20260821,76000.0,0.803,61028.0,0.805,,0.832984,
159238.SZ,20260821,9800.0,1.3,12740.0,1.3,,0.213558,
159237.SZ,20260821,6100.0,0.887,5410.7,0.895,,0.0498418,
159236.SZ,20260821,0.0,,0.0,1.205,,0.0,
159235.SZ,20260821,0.0,,0.0,1.231,,0.0,
159233.SZ,20260821,0.0,,0.0,1.202,,0.0,
159232.SZ,20260821,55800.0,1.199,66904.2,1.203,,0.0390622,
159231.SZ,20260821,56500.0,0.479,27063.5,0.481,,0.330797,
159230.SZ,20260821,0.0,,0.0,0.935,,0.0,
159229.SZ,20260821,100.0,1.21,121.0,1.211,,0.00264401,
159228.SZ,20260821,0.0,,0.0,1.029,,0.0,
159227.SZ,20260821,536000.0,0.97,519920.0,0.975,,0.236205,
159226.SZ,20260821,300.0,1.268,380.4,1.267,,0.00168932,
159225.SZ,20260821,0.0,,0.0,1.242,,0.0,
159223.SZ,20260821,100.0,1.138,113.8,1.14,,0.00176408,
159222.SZ,20260821,6000.0,1.264,7584.0,1.264,,0.00837368,
159221.SZ,20260821,0.0,,0.0,1.173,,0.0,
159220.SZ,20260821,23400.0,0.583,13642.2,0.585,,0.0927647,
159219.SZ,20260821,0.0,,0.0,1.382,,0.0,
159218.SZ,20260821,275300.0,1.309,360367.7,1.319,,0.245463,
