ts_code,name,start_date,end_date,ann_date,change_reason
601919.SH,中远海控,20161208,,20160929,其他
601919.SH,中国远洋,20140403,20161207,20140402,撤销*ST
601919.SH,*ST远洋,20130329,20140402,20130328,*ST
601919.SH,中国远洋,20070626,20130328,20070626,其他
