ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ah_vol,ah_amount
002536.SZ,20260821,44.83,46.97,44.7,46.97,42.7,4.27,10.0,359543.62,1653153.38379,,
002536.SZ,20260820,42.55,43.1,41.02,42.7,41.8,0.9,2.1531,372034.11,1565898.89072,,
