ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
159125.SZ,20260820,11500.0,0.749,8613.5,0.733,,0.0255143,
159123.SZ,20260820,0.0,,0.0,0.905,,0.0,
159122.SZ,20260820,0.0,,0.0,0.904,,0.0,
159121.SZ,20260820,81700.0,0.755,61683.5,0.747,,0.233544,
159120.SZ,20260820,53300.0,0.766,40827.8,0.757,,0.375718,
159119.SZ,20260820,0.0,,0.0,0.973,,0.0,
159118.SZ,20260820,0.0,,0.0,0.957,,0.0,
159117.SZ,20260820,0.0,,0.0,1.004,,0.0,
159116.SZ,20260820,0.0,,0.0,102.35,,0.0,
159115.SZ,20260820,0.0,,0.0,102.162,,0.0,
159113.SZ,20260820,0.0,,0.0,102.17,,0.0,
159112.SZ,20260820,0.0,,0.0,102.167,,0.0,
159142.SZ,20260820,247100.0,1.201,296767.1,1.186,,0.321082,
159145.SZ,20260820,0.0,,0.0,0.831,,0.0,
159177.SZ,20260820,0.0,,0.0,0.939,,0.0,
159146.SZ,20260820,31200.0,0.994,31012.8,0.997,,0.126346,
159176.SZ,20260820,0.0,,0.0,0.986,,0.0,
159175.SZ,20260820,0.0,,0.0,0.924,,0.0,
159173.SZ,20260820,100.0,0.868,86.8,0.871,,0.00163735,
159172.SZ,20260820,1500.0,0.819,1228.5,0.819,,0.0104115,
159171.SZ,20260820,0.0,,0.0,0.797,,0.0,
159170.SZ,20260820,36300.0,0.9,32670.0,0.875,,0.110348,
159169.SZ,20260820,244500.0,1.03,251835.0,0.992,,1.376,
159168.SZ,20260820,130500.0,0.881,114970.5,0.865,,0.346475,
159167.SZ,20260820,421800.0,1.0,421800.0,0.956,,0.675967,
159166.SZ,20260820,0.0,,0.0,0.855,,0.0,
159165.SZ,20260820,400.0,0.851,340.4,0.85,,0.00427025,
159163.SZ,20260820,124700.0,0.775,96642.5,0.756,,1.69249,
159162.SZ,20260820,96400.0,0.845,81458.0,0.829,,0.924884,
159161.SZ,20260820,0.0,,0.0,0.935,,0.0,
159160.SZ,20260820,67700.0,0.854,57815.8,0.854,,0.37806,
159159.SZ,20260820,0.0,,0.0,1.004,,0.0,
159158.SZ,20260820,112800.0,0.985,111108.0,0.985,,0.337272,
159157.SZ,20260820,414300.0,0.847,350912.1,0.833,,0.342791,
159156.SZ,20260820,0.0,,0.0,0.892,,0.0,
159155.SZ,20260820,800.0,0.874,699.2,0.871,,0.00299394,
159153.SZ,20260820,23700.0,1.182,28013.4,1.178,,0.185289,
159152.SZ,20260820,0.0,,0.0,0.785,,0.0,
159151.SZ,20260820,1100.0,0.927,1019.7,0.925,,0.00670704,
159150.SZ,20260820,1200.0,1.612,1934.4,1.61,,0.0211691,
159149.SZ,20260820,100.0,0.867,86.7,0.864,,0.00160775,
159148.SZ,20260820,13200.0,0.991,13081.2,0.991,,0.0838658,
159147.SZ,20260820,300.0,0.872,261.6,0.871,,0.000781615,
159246.SZ,20260820,170700.0,1.169,199548.3,1.152,,0.102419,
159248.SZ,20260820,93500.0,1.77,165495.0,1.737,,0.73806,
123076.SZ,20260820,70.0,124.443,8711.01,124.25,,,
159368.SZ,20260820,7600.0,0.672,5107.2,0.67,,0.00321085,
159366.SZ,20260820,1417500.0,1.548,2194290.0,1.454,,0.79995,
159365.SZ,20260820,0.0,,0.0,1.003,,0.0,
159363.SZ,20260820,3348800.0,1.243,4162558.4,1.223,,0.286318,
159362.SZ,20260820,300.0,1.311,393.3,1.301,,0.00133745,
