ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
600000.SH,20260819,433700.0,9.01,3907637.0,8.97,0.00130217,0.829232,3330580.0
159211.SZ,20260819,0.0,,0.0,1.504,,0.0,
159209.SZ,20260819,47700.0,1.146,54664.2,1.15,,0.0729749,
159208.SZ,20260819,645700.0,1.116,720601.2,1.082,,5.86446,
159207.SZ,20260819,4922400.0,1.144,5631225.6,1.144,,5.34757,
159206.SZ,20260819,23471300.0,1.514,35535548.2,1.488,,5.8306,
159205.SZ,20260819,469100.0,1.784,836874.4,1.82,,0.804806,
159203.SZ,20260819,0.0,,0.0,1.428,,0.0,
159202.SZ,20260819,768800.0,0.816,627340.8,0.825,,0.469474,
159201.SZ,20260819,1353500.0,1.183,1601190.5,1.185,,0.616758,
159200.SZ,20260819,0.0,,0.0,102.077,,0.0,
159199.SZ,20260819,600.0,0.913,547.8,0.913,,0.0786567,
159198.SZ,20260819,238100.0,1.258,299529.8,1.278,,0.190069,
159197.SZ,20260819,900.0,0.925,832.5,0.916,,0.0106897,
159196.SZ,20260819,219100.0,1.254,274751.4,1.274,,0.0843623,
159195.SZ,20260819,500.0,0.92,460.0,0.919,,0.00389943,
159193.SZ,20260819,14800.0,0.841,12446.8,0.841,,0.163304,
159192.SZ,20260819,0.0,,0.0,0.969,,0.0,
159191.SZ,20260819,500.0,0.933,466.5,0.943,,0.0180969,
159190.SZ,20260819,0.0,,0.0,0.899,,0.0,
159189.SZ,20260819,46100.0,0.899,41443.9,0.903,,0.282953,
159188.SZ,20260819,0.0,,0.0,0.936,,0.0,
159187.SZ,20260819,100.0,0.9,90.0,0.902,,0.0022353,
159186.SZ,20260819,3100.0,0.762,2362.2,0.763,,0.0892777,
159185.SZ,20260819,172600.0,1.113,192103.8,1.133,,0.108157,
159183.SZ,20260819,0.0,,0.0,0.895,,0.0,
159182.SZ,20260819,0.0,,0.0,0.938,,0.0,
159181.SZ,20260819,50800.0,0.899,45669.2,0.899,,0.793985,
159180.SZ,20260819,45200.0,1.082,48906.4,1.081,,0.77676,
159210.SZ,20260819,56900.0,0.852,48478.8,0.855,,0.296857,
159212.SZ,20260819,2000.0,1.517,3034.0,1.532,,0.0207796,
159178.SZ,20260819,54100.0,1.079,58373.9,1.117,,0.36283,
159213.SZ,20260819,158600.0,1.242,196981.2,1.251,,0.500209,
159243.SZ,20260819,241400.0,1.307,315509.8,1.345,,0.71283,
159242.SZ,20260819,125700.0,2.167,272391.9,2.227,,0.225247,
159241.SZ,20260819,1746300.0,1.08,1886004.0,1.064,,2.13369,
159240.SZ,20260819,0.0,,0.0,1.336,,0.0,
159239.SZ,20260819,57700.0,0.799,46102.3,0.797,,0.656519,
159238.SZ,20260819,6000.0,1.336,8016.0,1.336,,0.155082,
159237.SZ,20260819,28500.0,0.879,25051.5,0.891,,0.27326,
159236.SZ,20260819,0.0,,0.0,1.206,,0.0,
159235.SZ,20260819,0.0,,0.0,1.231,,0.0,
159233.SZ,20260819,0.0,,0.0,1.2,,0.0,
159232.SZ,20260819,253000.0,1.201,303853.0,1.204,,0.179178,
159231.SZ,20260819,92300.0,0.51,47073.0,0.508,,0.758029,
159230.SZ,20260819,3000.0,0.992,2976.0,0.985,,0.0228867,
159229.SZ,20260819,0.0,,0.0,1.213,,0.0,
159228.SZ,20260819,0.0,,0.0,1.02,,0.0,
159227.SZ,20260819,10024600.0,1.052,10545879.2,1.036,,5.79093,
159226.SZ,20260819,400.0,1.321,528.4,1.322,,0.00306679,
159225.SZ,20260819,0.0,,0.0,1.246,,0.0,
159223.SZ,20260819,0.0,,0.0,1.143,,0.0,
159222.SZ,20260819,240100.0,1.266,303966.6,1.269,,0.300641,
159221.SZ,20260819,100.0,1.176,117.6,1.176,,0.000416685,
159220.SZ,20260819,28100.0,0.579,16269.9,0.58,,0.13815,
159219.SZ,20260819,100.0,1.412,141.2,1.426,,0.00980969,
159218.SZ,20260819,6214200.0,1.487,9240515.4,1.451,,7.71802,
159217.SZ,20260819,646400.0,1.169,755641.6,1.167,,0.0948337,
159216.SZ,20260819,0.0,,0.0,1.542,,0.0,
159215.SZ,20260819,200.0,1.345,269.0,1.348,,0.00171556,
159179.SZ,20260819,5200.0,0.846,4399.2,0.849,,0.0448229,
159177.SZ,20260819,4200.0,0.962,4040.4,0.968,,0.0462359,
159246.SZ,20260819,301400.0,1.212,365296.8,1.245,,0.199583,
159142.SZ,20260819,569500.0,1.248,710736.0,1.283,,0.860939,
159140.SZ,20260819,157100.0,1.31,205801.0,1.346,,0.318854,
159139.SZ,20260819,46400.0,1.314,60969.6,1.336,,0.196421,
159138.SZ,20260819,0.0,,0.0,0.933,,0.0,
159137.SZ,20260819,88500.0,0.975,86287.5,0.975,,0.117344,
159136.SZ,20260819,0.0,,0.0,1.044,,0.0,
159135.SZ,20260819,0.0,,0.0,0.817,,0.0,
159133.SZ,20260819,13700.0,1.101,15083.7,1.113,,0.0349136,
159132.SZ,20260819,38400.0,0.965,37056.0,0.968,,0.103772,
159131.SZ,20260819,7454400.0,0.98,7305312.0,0.998,,0.410758,
159130.SZ,20260819,31200.0,0.937,29234.4,0.936,,0.300164,
159129.SZ,20260819,4600.0,1.075,4945.0,1.084,,0.0266995,
159128.SZ,20260819,18000.0,0.746,13428.0,0.746,,0.0290057,
159127.SZ,20260819,26800.0,0.954,25567.2,0.962,,0.540136,
159126.SZ,20260819,0.0,,0.0,0.946,,0.0,
159125.SZ,20260819,0.0,,0.0,0.735,,0.0,
159123.SZ,20260819,10500.0,0.966,10143.0,0.951,,0.232752,
159122.SZ,20260819,0.0,,0.0,0.949,,0.0,
159121.SZ,20260819,22400.0,0.753,16867.2,0.759,,0.0586379,
159120.SZ,20260819,4600.0,0.765,3519.0,0.771,,0.0287975,
159119.SZ,20260819,600.0,0.981,588.6,0.981,,0.0104487,
159118.SZ,20260819,0.0,,0.0,0.957,,0.0,
159117.SZ,20260819,0.0,,0.0,1.002,,0.0,
159116.SZ,20260819,0.0,,0.0,102.322,,0.0,
159115.SZ,20260819,0.0,,0.0,102.132,,0.0,
159113.SZ,20260819,0.0,,0.0,102.142,,0.0,
159112.SZ,20260819,0.0,,0.0,102.142,,0.0,
159111.SZ,20260819,0.0,,0.0,102.272,,0.0,
159141.SZ,20260819,277200.0,1.218,337629.6,1.258,,0.316385,
159143.SZ,20260819,27000.0,0.938,25326.0,0.944,,1.93529,
159176.SZ,20260819,0.0,,0.0,1.004,,0.0,
159145.SZ,20260819,23800.0,0.885,21063.0,0.885,,0.422508,
159175.SZ,20260819,45402.0,0.955,43358.91,0.96,,0.200008,
159173.SZ,20260819,49400.0,0.897,44311.8,0.897,,1.06364,
159172.SZ,20260819,30700.0,0.839,25757.3,0.836,,0.218403,
159171.SZ,20260819,0.0,,0.0,0.83,,0.0,
159170.SZ,20260819,17200.0,0.872,14998.4,0.877,,0.0545008,
159169.SZ,20260819,448500.0,0.991,444463.5,0.994,,2.82312,
159168.SZ,20260819,97100.0,0.889,86321.9,0.904,,0.242887,
159167.SZ,20260819,40100.0,0.968,38816.8,0.962,,0.070026,
159166.SZ,20260819,0.0,,0.0,0.857,,0.0,
159165.SZ,20260819,600.0,0.871,522.6,0.876,,0.00598682,
159163.SZ,20260819,100.0,0.778,77.8,0.783,,0.00129161,
159162.SZ,20260819,46000.0,0.847,38962.0,0.863,,0.461271,
159161.SZ,20260819,0.0,,0.0,0.967,,0.0,
159160.SZ,20260819,174300.0,0.875,152512.5,0.888,,0.963038,
159159.SZ,20260819,1000.0,1.008,1008.0,1.008,,0.0535257,
159158.SZ,20260819,116900.0,0.994,116198.6,0.993,,0.3718,
159157.SZ,20260819,255800.0,0.853,218197.4,0.868,,0.217853,
159156.SZ,20260819,300.0,0.921,276.3,0.923,,0.00676926,
159155.SZ,20260819,84300.0,0.888,74858.4,0.904,,0.257766,
159153.SZ,20260819,108800.0,1.231,133932.8,1.275,,0.974597,
159152.SZ,20260819,900.0,0.793,713.7,0.795,,0.00297939,
159151.SZ,20260819,89800.0,0.941,84501.8,0.944,,0.568316,
159150.SZ,20260819,0.0,,0.0,1.683,,0.0,
159149.SZ,20260819,100.0,0.91,91.0,0.908,,0.00183541,
159148.SZ,20260819,29500.0,1.007,29706.5,1.007,,0.196684,
159147.SZ,20260819,13200.0,0.893,11787.6,0.907,,0.0347096,
159146.SZ,20260819,113900.0,1.002,114127.8,1.007,,0.477092,
159245.SZ,20260819,9600.0,0.794,7622.4,0.792,,0.384572,
159247.SZ,20260819,1192700.0,1.098,1309584.6,1.12,,2.77078,
161119.SZ,20260819,36700.0,1.803,66170.1,1.804,,0.425336,
159367.SZ,20260819,124600.0,1.81,225526.0,1.843,,1.16152,
159365.SZ,20260819,14400.0,1.002,14428.8,1.005,,2.47695,
159363.SZ,20260819,2804100.0,1.28,3589248.0,1.323,,0.266046,
159362.SZ,20260819,0.0,,0.0,1.349,,0.0,
159361.SZ,20260819,1302400.0,1.268,1651443.2,1.284,,0.117164,
159360.SZ,20260819,200.0,1.353,270.6,1.358,,0.000605741,
159359.SZ,20260819,800.0,1.317,1053.6,1.319,,0.00266033,
159358.SZ,20260819,500.0,1.341,670.5,1.36,,0.000574928,
159357.SZ,20260819,8500.0,1.31,11135.0,1.326,,0.0504253,
159356.SZ,20260819,200.0,1.333,266.6,1.336,,0.000529589,
