ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
000617.SZ,20260821,,1.2843,,,,19.2126,0.8291,,,,,,,,8824170.0,,
300751.SZ,20260821,,3.1734,,,,79.7165,6.7113,,,,,,,,5401210.0,,
603324.SH,20260821,,2.7497,,,,,2.5518,,,,,,,,416083.0,,
603888.SH,20260821,,0.4533,,,,35.9254,3.115,,,,,,,,1185310.0,,
301050.SZ,20260821,,1.4659,,,,187.78,2.5135,,,,,,,,769476.0,,
300069.SZ,20260821,,20.5794,,,,,11.579,,,,,,,,315900.0,,
600483.SH,20260821,,0.3234,,,,10.0002,1.0249,,,,,,,,2855210.0,,
600874.SH,20260821,,0.4736,,,,9.8953,0.8302,,,,,,,,874723.0,,
603608.SH,20260821,,3.7096,,,,276.499,7.1953,,,,,,,,787580.0,,
300020.SZ,20260821,,0.9553,,,,,2.0483,,,,,,,,273369.0,,
000691.SZ,20260821,,2.4633,,,,,11.2059,,,,,,,,509635.0,,
301206.SZ,20260821,,1.4656,,,,52.3143,1.1357,,,,,,,,484368.0,,
000498.SZ,20260821,,0.4238,,,,3.56,0.4575,,,,,,,,763801.0,,
000758.SZ,20260821,,1.3126,,,,24.7619,1.9374,,,,,,,,1207780.0,,
002233.SZ,20260821,,0.6003,,,,19.7987,0.7065,,,,,,,,827776.0,,
300958.SZ,20260821,,7.3814,,,,,1.5865,,,,,,,,195451.0,,
920035.BJ,20260821,,2.5832,,,,25.5898,2.7586,,,,,,,,160985.0,,
002921.SZ,20260821,,3.7003,,,,,2.5241,,,,,,,,331012.0,,
920082.BJ,20260821,,0.7461,,,,43.7045,3.0219,,,,,,,,163408.0,,
300006.SZ,20260821,,12.5923,,,,,3.2144,,,,,,,,556465.0,,
002837.SZ,20260821,,3.2598,,,,142.92,19.9226,,,,,,,,6896780.0,,
000788.SZ,20260821,,6.841,,,,52.2335,2.2538,,,,,,,,335541.0,,
002847.SZ,20260821,,1.7635,,,,14.9399,5.6975,,,,,,,,1196660.0,,
601828.SH,20260821,,0.9249,,,,,0.4132,,,,,,,,931689.0,,
002758.SZ,20260821,,1.8136,,,,7.5771,0.7887,,,,,,,,409854.0,,
603238.SH,20260821,,0.8547,,,,18.515,1.4598,,,,,,,,218336.0,,
600279.SH,20260821,,0.602,,,,87.5298,0.7588,,,,,,,,511539.0,,
688151.SH,20260821,,0.7692,,,,113.779,1.2995,,,,,,,,548100.0,,
688066.SH,20260821,,1.4281,,,,,,,,,,,,,222250.0,,
688428.SH,20260821,,4.9876,,,,71.7025,7.1302,,,,,,,,5236560.0,,
300614.SZ,20260821,,1.1782,,,,,2.3873,,,,,,,,172474.0,,
300950.SZ,20260821,,1.2505,,,,34.7901,3.0976,,,,,,,,256739.0,,
688036.SH,20260821,,1.1154,,,,21.1859,3.1444,,,,,,,,6655000.0,,
603377.SH,20260821,,0.2224,,,,,,,,,,,,,208898.0,,
000909.SZ,20260821,,0.4747,,,,,3.0982,,,,,,,,187342.0,,
603366.SH,20260821,,3.5145,,,,34.3312,1.3502,,,,,,,,583769.0,,
603002.SH,20260821,,5.1043,,,,637.579,5.4214,,,,,,,,1873500.0,,
603607.SH,20260821,,1.9232,,,,36.0058,3.6032,,,,,,,,385418.0,,
603130.SH,20260821,,0.4794,,,,50.7396,3.8405,,,,,,,,551019.0,,
601390.SH,20260821,,0.3327,,,,4.9697,0.3281,,,,,,,,10548500.0,,
002161.SZ,20260821,,1.2758,,,,3275.47,2.8112,,,,,,,,427580.0,,
688820.SH,20260821,,6.9382,,,,254.024,12.3103,,,,,,,,23750400.0,,
600416.SH,20260821,,0.608,,,,55.5565,1.2734,,,,,,,,1239660.0,,
600320.SH,20260821,,0.6323,,,,24.8392,1.3244,,,,,,,,2118390.0,,
300966.SZ,20260821,,2.8378,,,,,3.9582,,,,,,,,290163.0,,
300858.SZ,20260821,,3.3756,,,,45.5214,2.1842,,,,,,,,405783.0,,
301121.SZ,20260821,,0.8362,,,,7465.3,2.08,,,,,,,,344211.0,,
301006.SZ,20260821,,1.6354,,,,21.8677,1.4526,,,,,,,,191510.0,,
000555.SZ,20260821,,1.7249,,,,177.329,1.774,,,,,,,,1008950.0,,
920014.BJ,20260821,,1.7141,,,,113.226,1.351,,,,,,,,106259.0,,
920220.BJ,20260821,,3.3895,,,,19.8639,3.365,,,,,,,,261449.0,,
603075.SH,20260821,,4.1996,,,,23.766,3.786,,,,,,,,774622.0,,
603192.SH,20260821,,0.8254,,,,43.6296,1.5322,,,,,,,,336393.0,,
002717.SZ,20260821,,2.1467,,,,,,,,,,,,,176563.0,,
000410.SZ,20260821,,0.8839,,,,,3.2219,,,,,,,,1345730.0,,
300476.SZ,20260821,,2.6418,,,,53.2872,14.3283,,,,,,,,24937200.0,,
603258.SH,20260821,,0.7963,,,,,1.5757,,,,,,,,307097.0,,
002947.SZ,20260821,,2.4294,,,,25.439,4.5239,,,,,,,,1463000.0,,
000651.SZ,20260821,,0.7874,,,,7.9162,1.5195,,,,,,,,23100200.0,,
300676.SZ,20260821,,7.7166,,,,,2.0947,,,,,,,,1765300.0,,
688095.SH,20260821,,2.3553,,,,113.968,2.0524,,,,,,,,539478.0,,
688757.SH,20260821,,4.1578,,,,222.971,14.386,,,,,,,,1288180.0,,
000881.SZ,20260821,,0.5117,,,,,1.2253,,,,,,,,609800.0,,
300464.SZ,20260821,,1.7982,,,,288.716,22.163,,,,,,,,315427.0,,
300968.SZ,20260821,,1.6605,,,,,2.3887,,,,,,,,426195.0,,
301012.SZ,20260821,,2.8691,,,,111.151,4.1743,,,,,,,,497324.0,,
300898.SZ,20260821,,2.1583,,,,23.0751,2.4698,,,,,,,,256804.0,,
601077.SH,20260821,,0.4801,,,,6.2785,0.5688,,,,,,,,7734120.0,,
600318.SH,20260821,,1.3677,,,,77.8846,2.9902,,,,,,,,331735.0,,
301533.SZ,20260821,,2.8757,,,,93.008,2.3516,,,,,,,,264838.0,,
601992.SH,20260821,,0.1798,,,,,0.3793,,,,,,,,1473530.0,,
001328.SZ,20260821,,1.0703,,,,24.7831,3.3189,,,,,,,,488974.0,,
600933.SH,20260821,,0.5208,,,,12.4802,1.4381,,,,,,,,1414220.0,,
301330.SZ,20260821,,0.6803,,,,28.4239,1.6204,,,,,,,,562490.0,,
605277.SH,20260821,,0.6922,,,,26.2772,3.2795,,,,,,,,572292.0,,
301045.SZ,20260821,,3.7995,,,,198.255,6.9962,,,,,,,,726225.0,,
002281.SZ,20260821,,4.3066,,,,127.872,10.2307,,,,,,,,14783700.0,,
002412.SZ,20260821,,4.5245,,,,22.7621,2.1163,,,,,,,,512761.0,,
605116.SH,20260821,,3.0479,,,,20.5816,3.0019,,,,,,,,810336.0,,
001318.SZ,20260821,,1.4845,,,,30.8591,2.1188,,,,,,,,313187.0,,
